Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Offender_Number,Person_Type,Victim_Race,Victim_Gender,Victim_Age,Victim_Number,Victim_Fatal_Status,Hate_Crime,Report_Type
A-00112-19,8,1001 TOULOUSE ST #520,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 0:30,14 35.3,DOMESTIC ABUSE BATTERY,WHITE,MALE,48,1,VICTIM,WHITE,FEMALE,49,1,Non-fatal,,Incident Report
A-00114-19,7,11240 S PARKWOOD CT,OPEN,67A,AUTO THEFT,1/1/2019 0:20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-00116-19,8,500 BOURBON ST,OPEN,67P,PICKPOCKET,1/1/2019 0:30,14 67,THEFT,NULL,NULL,NULL,1,VICTIM,WHITE,FEMALE,21,1,Non-fatal,,Incident Report
A-00123-19,6,3531 TOLEDANO ST,OPEN,103,DISTURBANCE,1/1/2019 1:03,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,40,1,Non-fatal,,Incident Report
A-00123-19,6,3531 TOLEDANO ST,OPEN,103,DISTURBANCE,1/1/2019 1:03,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,HISPANIC,MALE,33,2,Non-fatal,,Incident Report
A-00124-19,8,500 SAINT CHARLES AV,OPEN,35,SIMPLE BATTERY,1/1/2019 0:17,14 35,SIMPLE BATTERY,WHITE,MALE,NULL,1,VICTIM,WHITE,FEMALE,39,1,Non-fatal,,Incident Report
A-00144-20,8,100 BOURBON ST,OPEN,67P,PICKPOCKET,12/31/2019 11:30,14 67,THEFT,NULL,NULL,NULL,1,VICTIM,WHITE,MALE,28,1,Non-fatal,,Incident Report
A-00144-20,8,100 BOURBON ST,OPEN,67P,PICKPOCKET,12/31/2019 11:30,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,NULL,NULL,NULL,1,VICTIM,WHITE,MALE,28,1,Non-fatal,,Incident Report
A-00149-19,5,1800 CLOUET ST,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 0:30,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,FEMALE,35,1,VICTIM,BLACK,MALE,50,1,Non-fatal,,Incident Report
A-00152-19,8,200 BOURBON ST,OPEN,21P,LOST PROPERTY,1/1/2019 0:45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-00159-19,1,2312 ORLEANS AV,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 1:00,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,FEMALE,71,1,Non-fatal,,Incident Report
A-00167-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 1:25,14 95.E,ILLEGAL CARRYING OF A WEAPON WHILE IN POSSESSION OF NARCOTICS,BLACK,MALE,25,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00167-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 1:25,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,25,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00167-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 1:25,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,25,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00167-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 1:25,NULL,NULL,BLACK,MALE,24,2,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00167-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 1:25,NULL,NULL,BLACK,MALE,22,3,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00167-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 1:25,NULL,NULL,BLACK,MALE,25,1,VICTIM,NULL,NULL,NULL,2,Non-fatal,,Incident Report
A-00167-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 1:25,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),BLACK,MALE,24,2,VICTIM,NULL,NULL,NULL,2,Non-fatal,,Incident Report
A-00167-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 1:25,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),BLACK,MALE,22,3,VICTIM,NULL,NULL,NULL,2,Non-fatal,,Incident Report
A-00167-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 1:25,14 95,ILLEGAL CARRYING OF WEAPON,BLACK,MALE,25,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00170-19,7,8520 CHASE ST,OPEN,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),1/1/2019 1:35,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,40,1,VICTIM,BLACK,FEMALE,48,1,Non-fatal,,Incident Report
A-00170-19,7,8520 CHASE ST,OPEN,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),1/1/2019 1:35,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,40,1,VICTIM,BLACK,FEMALE,48,1,Non-fatal,,Incident Report
A-00173-19,1,BASIN ST & CONTI ST,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 1:38,NULL,NULL,BLACK,MALE,39,1,WITNESS,BLACK,MALE,18,3,Non-fatal,,Incident Report
A-00173-19,1,BASIN ST & CONTI ST,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 1:38,NULL,NULL,BLACK,MALE,39,1,WITNESS,BLACK,FEMALE,37,2,Non-fatal,,Incident Report
A-00173-19,1,BASIN ST & CONTI ST,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 1:38,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,39,1,VICTIM,BLACK,FEMALE,39,1,Non-fatal,,Incident Report
A-00177-19,4,3000 PARC FONTAINE,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 1:30,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,22,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00178-19,4,3000 PARC FONTAINE,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 1:30,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,22,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00179-19,4,3000 PARC FONTAINE,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 1:30,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,22,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00180-19,4,3000 PARC FONTAINE,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 1:30,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,22,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00181-19,2,4403 ANNUNCIATION ST,CLOSED,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),1/1/2019 1:40,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,WHITE,MALE,31,1,VICTIM,WHITE,FEMALE,24,1,Non-fatal,,Incident Report
A-00181-19,2,4403 ANNUNCIATION ST,CLOSED,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),1/1/2019 1:40,14 62.3,UNAUTHORIZED ENTRY (INHAB.DWELLING),WHITE,MALE,31,1,VICTIM,WHITE,FEMALE,24,1,Non-fatal,,Incident Report
A-00181-19,2,4403 ANNUNCIATION ST,CLOSED,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),1/1/2019 1:40,14 35,SIMPLE BATTERY,WHITE,MALE,31,1,VICTIM,WHITE,FEMALE,28,2,Non-fatal,,Incident Report
A-00183-19,6,JOSEPHINE ST & MAGNOLIA ST,OPEN,27-67C,ATTEMPTED THEFT FROM EXTERIOR OF VEHICLE,1/1/2019 1:40,14 (27) 67,ATTEMPT - THEFT,HISPANIC,MALE,NULL,1,VICTIM,HISPANIC,MALE,46,2,Non-fatal,,Incident Report
A-00183-19,6,JOSEPHINE ST & MAGNOLIA ST,OPEN,27-67C,ATTEMPTED THEFT FROM EXTERIOR OF VEHICLE,1/1/2019 1:40,14 (27) 67,ATTEMPT - THEFT,HISPANIC,MALE,NULL,1,VICTIM,BLACK,MALE,64,1,Non-fatal,,Incident Report
A-00197-19,4,3500 GARDEN OAKS DR #1902,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 1:50,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,27,1,Non-fatal,,Incident Report
A-00197-19,4,3500 GARDEN OAKS DR #1902,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 1:50,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,23,1,Non-fatal,,Incident Report
A-00199-19,8,BOURBON ST & IBERVILLE ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 1:54,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,UNKNOWN,MALE,64,1,Non-fatal,,Incident Report
A-00206-19,8,600 BOURBON ST,OPEN,67P,PICKPOCKET,1/1/2019 1:45,14 67,THEFT,UNKNOWN,NULL,NULL,1,VICTIM,WHITE,MALE,21,1,Non-fatal,,Incident Report
A-00206-19,8,600 BOURBON ST,OPEN,67P,PICKPOCKET,1/1/2019 1:45,NULL,NULL,UNKNOWN,NULL,NULL,1,INTERVIEW,WHITE,MALE,21,3,Non-fatal,,Incident Report
A-00206-19,8,600 BOURBON ST,OPEN,67P,PICKPOCKET,1/1/2019 1:45,NULL,NULL,UNKNOWN,NULL,NULL,1,INTERVIEW,BLACK,FEMALE,26,2,Non-fatal,,Incident Report
A-00208-19,8,BOURBON ST & TOULOUSE ST,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/1/2019 1:45,14 95,ILLEGAL CARRYING OF WEAPON,BLACK,MALE,22,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00232-19,8,334  ROYAL ST,OPEN,21P,LOST PROPERTY,1/1/2019 1:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-00246-18,3,6714 BELLAIRE,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 2:22,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,FEMALE,24,1,Non-fatal,,Incident Report
A-00246-18,3,6714 BELLAIRE,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 2:22,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,FEMALE,19,2,Non-fatal,,Incident Report
A-00255-19,8,SAINT LOUIS ST & BOURBON ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 2:15,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,MALE,NULL,1,Non-fatal,,Incident Report
A-00269-19,1,500 BASIN ST,OPEN,65,SIMPLE ROBBERY,1/1/2019 1:17,14 65,SIMPLE ROBBERY,NULL,NULL,NULL,2,VICTIM,WHITE,FEMALE,28,1,Non-fatal,,Incident Report
A-00269-19,1,500 BASIN ST,OPEN,65,SIMPLE ROBBERY,1/1/2019 1:17,14 65,SIMPLE ROBBERY,NULL,NULL,NULL,1,VICTIM,WHITE,FEMALE,28,1,Non-fatal,,Incident Report
A-00269-19,1,500 BASIN ST,OPEN,65,SIMPLE ROBBERY,1/1/2019 1:17,14 65,SIMPLE ROBBERY,NULL,NULL,NULL,3,VICTIM,WHITE,FEMALE,28,1,Non-fatal,,Incident Report
A-00269-19,1,500 BASIN ST,OPEN,65,SIMPLE ROBBERY,1/1/2019 1:17,14 65,SIMPLE ROBBERY,NULL,NULL,NULL,4,VICTIM,WHITE,FEMALE,28,1,Non-fatal,,Incident Report
A-00276-19,1,CONTI ST & N RAMPART ST,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 1:30,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,FEMALE,32,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00287-19,8,BOURBON & BIENVILLE,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 0:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-00288-19,8,BOURBON ST & BIENVILLE ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 3:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-00301-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 2:57,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,20,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00301-19,8,400 BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 2:57,14 95,ILLEGAL CARRYING OF WEAPON,BLACK,MALE,20,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00302-19,1,CANAL ST & BASIN ST,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 3:12,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,35,1,VICTIM,BLACK,FEMALE,28,1,Non-fatal,,Incident Report
A-00302-19,1,CANAL ST & BASIN ST,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 3:12,NULL,NULL,BLACK,MALE,35,1,WITNESS,HISPANIC,FEMALE,35,2,Non-fatal,,Incident Report
A-00303-19,8,600 BOURBON ST,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/1/2019 3:05,54 450,INTERFERING WITH A LAW ENFORCEMENT INVESTIGATION,BLACK,FEMALE,21,2,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00303-19,8,600 BOURBON ST,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/1/2019 3:05,14 95,ILLEGAL CARRYING OF WEAPON,BLACK,MALE,23,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00303-19,8,600 BOURBON ST,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/1/2019 3:05,14 108,RESISTING AN OFFICER,BLACK,MALE,23,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00303-19,8,600 BOURBON ST,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/1/2019 3:05,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,23,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00312-19,2,9007 HICKORY ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 2:30,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,FEMALE,20,1,Non-fatal,,Incident Report
A-00323-19,7,4827  FRIAR TUCK DR,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 3:31,NULL,NULL,BLACK,MALE,31,1,INTERVIEW,BLACK,FEMALE,29,2,Non-fatal,,Incident Report
A-00323-19,7,4827  FRIAR TUCK DR,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 3:31,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,31,1,VICTIM,BLACK,FEMALE,32,1,Non-fatal,,Incident Report
A-00327-19,5,1313 FLOOD ST,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 3:35,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,42,1,VICTIM,BLACK,FEMALE,41,1,Non-fatal,,Incident Report
A-00331-19,7,6609 LAKE WILLOW DR #A,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 3:00,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,57,1,Non-fatal,,Incident Report
A-00335-19,7,5131 BUNDY RD #D21,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 3:40,14 34.1,SECOND DEGREE BATTERY,BLACK,MALE,NULL,1,VICTIM,BLACK,FEMALE,21,1,Non-fatal,,Incident Report
A-00336-18,3,25 SWAN ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 3:40,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,MALE,56,1,Non-fatal,,Incident Report
A-00336-18,3,25 SWAN ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 3:40,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,MALE,26,1,Non-fatal,,Incident Report
A-00344-19,8,300 BOURBON ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 3:40,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,ASIAN,FEMALE,31,1,Non-fatal,,Incident Report
A-00344-19,8,300 BOURBON ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 3:40,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,BLACK,MALE,34,2,Non-fatal,,Incident Report
A-00347-19,4,3400 GARDEN OAKS DR #1211,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 3:40,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,43,1,Non-fatal,,Incident Report
A-00352-19,5,N ROCHEBLAVE ST & A P TUREAUD AV,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 3:54,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00353-19,7,7120 E TAMARON BD,CLOSED,103D,DISTURBANCE (DOMESTIC),1/1/2019 3:45,NULL,NULL,BLACK,MALE,26,1,REPORTING PERSON,BLACK,FEMALE,25,1,Non-fatal,,Supplemental Report
A-00353-19,7,7120 E TAMARON BD,CLOSED,103D,DISTURBANCE (DOMESTIC),1/1/2019 3:45,54 96,BATTERY,BLACK,MALE,26,1,VICTIM,BLACK,MALE,45,2,Non-fatal,,Supplemental Report
A-00359-19,4,424 PACIFIC AV,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 3:30,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,FEMALE,36,0,Non-fatal,,Incident Report
A-00361-18,3,4417 JEANNE MARIE ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 4:04,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,51,1,Non-fatal,,Incident Report
A-00363-19,8,200 BOURBON ST,CLOSED,35,SIMPLE BATTERY,1/1/2019 4:04,NULL,NULL,BLACK,FEMALE,20,1,VICTIM,WHITE,FEMALE,49,3,Non-fatal,,Incident Report
A-00363-19,8,200 BOURBON ST,CLOSED,35,SIMPLE BATTERY,1/1/2019 4:04,NULL,NULL,BLACK,FEMALE,20,1,VICTIM,WHITE,MALE,23,2,Non-fatal,,Incident Report
A-00363-19,8,200 BOURBON ST,CLOSED,35,SIMPLE BATTERY,1/1/2019 4:04,54 96,BATTERY,BLACK,FEMALE,20,1,VICTIM,WHITE,MALE,22,1,Non-fatal,,Incident Report
A-00367-19,7,7540 WAVE,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 4:13,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,41,1,Non-fatal,,Incident Report
A-00379-19,8,600 BOURBON ST,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 3:05,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,23,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00380-19,8,600 BOURBON ST,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 3:05,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,23,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00386-19,8,CANAL ST & SAINT CHARLES AV,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 4:00,NULL,NULL,BLACK,FEMALE,27,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00387-19,8,CANAL ST & SAINT CHARLES AV,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 4:38,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,FEMALE,27,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00393-19,8,921 CANAL ST,CLOSED,35,SIMPLE BATTERY,1/1/2019 4:38,14 34.2,BATTERY OF A POLICE OFFICER,WHITE,MALE,44,1,VICTIM,WHITE,MALE,NULL,1,Non-fatal,,Incident Report
A-00413-19,8,200  BOURBON ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 4:00,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),BLACK,FEMALE,20,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00418-18,8,500 CANAL ST #2419,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 5:00,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,HISPANIC,MALE,42,2,Non-fatal,,Incident Report
A-00418-18,8,500 CANAL ST #2419,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 5:00,NULL,NULL,NULL,NULL,NULL,NULL,WITNESS,HISPANIC,MALE,15,3,Non-fatal,,Incident Report
A-00418-18,8,500 CANAL ST #2419,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 5:00,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,HISPANIC,FEMALE,39,1,Non-fatal,,Incident Report
